,aclose
2021-01-08,115.5248
2021-01-15,115.3989
2021-01-22,106.6085
2021-01-29,107.0579
2021-02-05,109.4668
2021-02-12,110.0264
2021-02-19,108.3778
2021-02-26,108.3232
2021-03-05,111.8754
2021-03-12,116.2291
2021-03-19,117.404
2021-03-26,124.2169
2021-04-01,121.3478
2021-04-09,123.6249
2021-04-16,121.6757
2021-04-23,129.7273
2021-04-30,129.2264
2021-05-07,133.9808
2021-05-14,133.2624
2021-05-21,133.3177
2021-05-28,132.3966
2021-06-04,135.7862
2021-06-11,139.3415
2021-06-18,131.8255
2021-06-25,135.2519
2021-07-02,128.9701
2021-07-09,130.3518
2021-07-16,127.9385
2021-07-23,130.186
2021-07-30,129.836
2021-08-06,132.719
2021-08-13,133.412
2021-08-20,129.6196
2021-08-27,129.8992
2021-09-03,130.0576
2021-09-10,127.6722
2021-09-17,126.0043
2021-09-24,128.1102
2021-10-01,133.5424
2021-10-08,133.4493
2021-10-15,134.7444
2021-10-22,119.1558
2021-10-29,116.5654
2021-11-05,120.4752
2021-11-12,117.5166
2021-11-19,114.6419
2021-11-26,114.4048
2021-12-03,117.398
2021-12-10,122.5843
2021-12-17,125.8542
2021-12-23,129.045
2021-12-31,132.0382
2022-01-07,133.194
2022-01-14,132.5815
2022-01-21,127.7805
2022-01-28,132.868
2022-02-04,135.4859
2022-02-11,132.69
